,Text,Book,Author,Date,Tags
58,"You open your mouth to speak, and your body begins to shake and wobble. You open your mouth to speak, but you don't have the words. Your brother knows what it is like to not have the words, and he can see the panic rising in your body, he can see that you're about to start gulping for air, he sees there are tears on the way, so he holds you, he holds you close, he holds you with care. You allow yourself to be held, as you have done for him before. You allow yourself to be soft and childlike in his arms. You allow yourself to break.",Open Water,Caleb Azumah Nelson,2022-08-10, #brothers
59,"""The past is beautiful because one never realizes an emotion at the time. It expands later, and thus we don't have complete emotions about the present, only about the past.""  - Virginia Woolf",Educated,Tara Westover,2022-08-18, #emotional
60,"Mother also used the money to improve herself as a midwife. She bought an oxygen tank in case a baby came out and couldn't breathe and she took a suturing class so she could stitch the women who tore. Judy had always sent women to the hospital for stitches, but Mother was determined to learn. Self-reliance, I imagine her thinking.",Educated,Tara Westover,2022-08-18, #mother
61,"A decade later my understanding would shift, part of my heavy swing into adulthood, and after that the accident would always make me think of the Apache women, and of all the decisions that go into making a life—the choices people make, together and on their own, that combine to produce any single event. Grains of sand, incalculable, pressing into sediment, then rock.",Educated,Tara Westover,2022-08-18, #apachewomen
62,"I squared my stance, ready to argue, to tell Grandma again that we didn't use soap, but when I looked up, the woman I saw was not the woman I expected to see. She didn't seem frivolous, didn't seem like the type who'd waste an entire day fretting over her white carpet. In that moment she was transformed. Maybe it was something in the shape of her eyes, the way they squinted at me in disbelief, or maybe it was the hard line of her mouth, which was clamped shut, determined. Or maybe it was nothing at all, just the same old woman looking like herself and saying the things she always said. Maybe her transformation was merely a temporary shift in my perspective—for that moment, perhaps the perspective was his, that of the brother I hated, and loved.",Educated,Tara Westover,2022-08-18, #StandUp
63,"It was as if, when I sang, Dad forgot for a moment that the world was a frightening place, that it would corrupt me, that I should be kept safe, sheltered, at home. He wanted my voice to be heard.",Educated,Tara Westover,2022-08-18, #singing
64,"I don't know what I saw—what creature I conjured from that violent, compassionate act—but I think it was my father, or perhaps my father as I wished he were, some longed-for defender, some fanciful champion, one who wouldn't fling me into a storm, and who, if I was hurt, would make me whole.",Educated,Tara Westover,2022-08-18, #father
65,"I'm only crying from the pain, I told myself. From the pain in my wrist. Not from anything else. This moment would define my memory of that night, and of the many nights like it, for a decade. In it I saw myself as unbreakable, as tender as stone. At first I merely believed this, until one day it became the truth. Then I was able to tell myself, without lying, that it didn't affect me, that he didn't affect me, because nothing affected me. I didn't understand how morbidly right I was. How I had hollowed myself out. For all my obsessing over the consequences of that night, I had misunderstood the vital truth: that its not affecting me, that was its effect.",Educated,Tara Westover,2022-08-18, #nightslikethat
66,"I was struck by the strangeness of that page: Dad could command this science, could decipher its language, decrypt its logic, could bend and twist and squeeze from it the truth. But as it passed through him, it turned to chaos.",Educated,Tara Westover,2022-08-18, #strangeness
67,"I said nothing, I'd never heard anyone criticize my father except Shawn, and I wasn't able to respond to it. I wanted to tell Charles about the Illuminati, but the words belonged to my father, and even in my mind they sounded awkward, rehearsed. I was ashamed at my inability to take possession of them. I believed then—and part of me will always believe—that my father's words ought to be my own.",Educated,Tara Westover,2022-08-18, #father
68,"I decide that if I had asked differently, been more calm, he would have stopped. I write this until I believe it, which doesn't take long because I want to believe it. It's comforting to think the defect is mine, because that means it is under my power.",Educated,Tara Westover,2022-08-18, #defect
69,"This half-knowledge works in me like a kind of possession, and for a few minutes I'm taken over by it. I rise from my bed, retrieve my journal, and do something I have never done before: I write what happend. I do not use vague, shadowy language, as I have done in other entries; I do not hide behind hints and suggestions. I write what I remember...",Educated,Tara Westover,2022-08-18, #journaling
70,"But however I chose to remember it, that event would change everything. Reflecting on it now I'm amazed by it, not by what happened, but that I wrote what happened. That from somewhere inside that brittle shell—in that girl made vacant by the fiction of invincibility—there was a spark left.",Educated,Tara Westover,2022-08-18, #fictional
71,"It's strange how you give the people you love so much power over you, I had written in my journal. But Shawn had more power over me than I could possibly have imagined. He had defined me to myself, and there's no greater power than that.",Educated,Tara Westover,2022-08-18, #shawnmendes
72,"""I can help,"" he said, ""but you'll need to tell me what's bothering you."" His voice was gentle, and that gentleness was cruel. I wished he would yell. If he yelled, it would make me angry, and when angry I felt powerful. I didn't know if I could do this without feeling powerful.",Educated,Tara Westover,2022-08-18, #power
73,"I was an incurious student that semester. Curiosity is a luxury reserved for the financially secure: my mind was absorbed with more immediate concerns, such as the exact balance of my bank account, who I owed how much, and whether there was anything in my room I could sell for ten or twenty dollars.",Educated,Tara Westover,2022-08-18, #student
74,"My own words confirmed it. When other students asked where I was from, I said, ""I'm from Idaho,"" a phrase that, as many times as I've had to repeat it over the years, has never felt comfortable in my mouth. When you are part of a place, growing that moment in its soil, there's never a need to say you're from there. I never uttered the words ""I'm from Idaho"" until I'd left it.",Educated,Tara Westover,2022-08-18, #idahomememoir
75,"It was crucial that I not look at him. As long as I kept my eyes on the spire, I almost believed he couldn't touch me. Almost. Because even while I clung to this belief, I waited to feel his hands on my neck. I knew I would feel them, and soon, but I didn't dare do anything that might break the spell of waiting. In that moment part of me believed, as I had always believed, that it would be me who broke the spell, who cause it to break. When the stillness chattered and his fury rushed at me, I would know that something I had done was the catalyst, the cause. There is hope in such a superstition; there is the illusion of control.",Educated,Tara Westover,2022-08-18, #superstition
76,"My journals were a problem. I knew that my memories were not memories only, that I had recorded them, that they existed in black and white. This meant that more than my memory was in error. The delusion was deeper, in the core of my mind, which invented in the very moment of occurrence, the recorded the fiction.",Educated,Tara Westover,2022-08-18, #janea
77,"Sometimes the skepticism took the form of uncompromising certainty: there were days when the more I doubted my own sanity, the more violently I defended my own memories, my own ""truth,"" as the only truth possible.",Educated,Tara Westover,2022-08-18, #spooky
78,"I willed myself to believe it—to believe there was no real difference between what I knew to be true and what I knew to be false. To convince myself that there was some dignity in what I planned to do, in durrendering my own perceptions of right and wrong, of reality, of sanity itself, to earn the love of my parents.",Educated,Tara Westover,2022-08-18, #youshouldntbehere
79,"Everything I had worked for, all my years of study, had been to purchase for myself this one privilege: to see and experience more truths than those given to me by my father, and to use those truths to construct my own mind. I had come to believe that the ability to evaluate many ideas, many histories, many points of view, was at the heart of what it means to self-create. If I yielded now, I would lose more than an argument. I would lose custody of my own mind. This was thr price I was being asked to pay, I understood that now. What my father wanted to cast from me wasn't a demon: it was me.",Educated,Tara Westover,2022-08-18, #selfcreate
80,"The thing about having a mental breakdown is that no matter how obvious it is that you're having one, it is somehow not obvious to you. I'm fine, you think. So what if I watched TV for twenty-four straight hours yesterday. I'm not falling apart. I'm just lazy. Why it's better to think yourself lazy than think yourself in distress, I'm not sure. But it was better. More than better: it was vital.",Educated,Tara Westover,2022-08-18, #mentalbreakdown
81,"An educated person is not someone that can recite an army of facts and knows a lot of things, but rather it is someone that has the flexibility of mind. Someone that is willing to explore her own prejudice and has acquired a depth of understanding that allows her to see the world through another point of view.",Educated,Tara Westover,2022-08-18, #education
82,"When I was a child, I waited for my mind to grow, for my experiences to accumulate and my choices to solidify, taking shape into the likeness of a person. That person, or that likeness of one, had belonged. I was of that mountain, the mountain that had made me. It was only as I grew older that I wondered if how I had started is how I would end—if the first shape a person takes is their only true shape.",Educated,Tara Westover,2022-08-18, #shapeofaperson
83,"Until that moment she had always been there. No matter how much I appeared to have changed—how illustrious my education, how altered my appearance—I was still her. At best I was two people, a fractured mind. She was inside, and emerged whenever I crossed the threshold of my father's house. That night I called on her and she didn't answer. She left me. She stayed in the mirror. The decisions I made after that moment were not the ones she would have made. They were the choices of a changed person, a new self. You could call this selfhood many things. Transformation. Metamorphosis. Falsity. Betrayal. I call it an education.",Educated,Tara Westover,2022-08-18, #education
84,"three thoughts: relationships normally start with two people wanting to treat each other well. harm is caused when someone does not know how to properly manage their reactions to their emotions. if you think you are your emotions, then your words and actions will resemble your mental turbulence. in relationships, it is important to understand that the other person cannot fix your emotional problems. at best they can support you as you uncover and process your own emotional history. there is no such thing as a perfect relatioship, but there are incredible relationships in which the mutual connection and support are indescribably profound.",clarity & connection,yung pueblo,2022-08-13, #relationship
85,cultivate your humility by questioning your perception. cultivate your humility by not looking down on others. cultivate your humility by not making assumptions. cultivate your humility by being generous often. cultivate your humility by learning from others,clarity & connection,yung pueblo,2022-08-13, #humility
86,i kept getting crushed by my own expectations. barely present thinking but not feeling speaking but not listening interacting but not noticing. smiling to continue the performance. my heart struggled with gratitude. never feeling satisfied always missing what was in front of me. because my mind kept jumping into imagining what more i could want. which made everything i was given never quite as special as what i had envisioned,clarity & connection,yung pueblo,2022-08-13, #mindfulness
87,before you can see someone else clearly you must first be aware that your mind will impulsively filter what it sees through the lens of your past conditioning and present emotional state,clarity & connection,yung pueblo,2022-08-13, #mind
88,taking a moment to figure out how you really feel instead of letting old patterns decide for you is one of the most authentic things you can do,clarity & connection,yung pueblo,2022-08-13, #authenticity
89,"sometimes a person ends a good relationship because the areas they think are bad are being intensified by their personal issues that they have not dealt with properly, sometimes people break apart a home because they are unaware of their projections and are not ready to appreciate a good thing.",clarity & connection,yung pueblo,2022-08-13, #goodrelationship
90,"we often hand our tension over to others without understanding that it wasn't ours to begin with. someone passed it to us, and so we pass it to the next person, and they do the next, until it lands in the hands of someone with the tools to process it and let it go. the more of us who are open to inner work, the more points there will be in the giant web of humanity where harm will not be able to spread. the self-awareness needed to stop causing ourselves and others harm is not just about knowing our own inner mechanics, our trauma, the moments when we are projecting, or how our reactions impact our perceptions. it is also about taking the time to understand what society has encoded in our minds without our explicit permission.",clarity & connection,yung pueblo,2022-08-13, #mentalhealth
91,when healing gets deep there is sometimes an explosion of emotion that occurs to clear out old energetic debris. you feel most agitated right before you settle into a more substantial peace,clarity & connection,yung pueblo,2022-08-13, #emotion
92,"people are incredibly similar and different at the same time. we all have the same basic structure of mind and emotions, but we have distinct mental conditioning because no two people have experienced the same exact life. the twists and turns, the reactions we have felt, the things we have understood and misunderstood, all that we have come to believe, how we perceive ourselves and the world, the maze of patterns that impact our behavior, the different magnitudes of trauma—you can go on and on and see that each individual has their own inner world and unique emotional history.",clarity & connection,yung pueblo,2022-08-13, #emotionalhistory
93,"a real conversation free from projection and ego-flexing is a special gift most do not talk to listen, they talk to be heard self-awareness, selflessness, and a real desire to listen are required for mutually authentic and honest exchange",clarity & connection,yung pueblo,2022-08-13, #listen
94,"miscommunication and conflict occur because we are not building a bridge of understanding. often, in heated conversations, all we can think about is our own perspective, emotions, or ego. this limits our ability to empathize with the experience of another person, which is a prerequisite for the harmony that comes from understanding. one of the greatest gifts we can give each other is selfless listening, which is hearing someone's truth without projecting one's own emotion or story onto it—literally receiving another's perspective with complete acceptance. in special moments, we can take turns deeply seeing one another. here we move beyond having an exchange to holding space while someone reveals their truth. this is a higher level of listening that involves acting as a compassionate audience for another person without interrupting or adding our own perspective. when we hold space for one another, hearts become more open, truth is ready to be revealed, and old tension comes to the surface so that it can be seen and held, not just by the speaker, but also the listener. this collective honoring of each other's truth can be incredibly healing.",clarity & connection,yung pueblo,2022-08-13, #holdspace
95,"it is okay to not have the answer. one of the bravest things you can do is boldly embrace the unknown, accept your fear, and continue to move forward. a clear mission does not always have a clear path",clarity & connection,yung pueblo,2022-08-13, #clearmission
96,self-awareness is noticing the rhythm of your thoughts. feeling when they are clear and when they are out of sync. knowing when to take them seriously and when to let them go. not every thought is valuable; most are just the sounds of impulsive emotional reactions,clarity & connection,yung pueblo,2022-08-13, #thoughts
97,"so much of our internal struggle comes from not embracing change. tension decreases when we understand that change is happening at every level, from the atomic, to the biological, to the mental. a human being is composed of moving parts. our identity is no different. it is a dynamic phenomenon, similar to a river—flowing, moving, expanding, roaring, weaving, all the time with power and all the time with the potential to change. do not limit yourself to a static understanding of who you are. release your conditioned boundaries and be free.",clarity & connection,yung pueblo,2022-08-13, #change
98,"you cannot build a deep connection with someone who is disconnected from themselves. when we are in the habit of ignoring what we feel or consistently run away from hard parts of ourselves, distance is created not just between us and ourselves but also between us and other people. our lack of a full embrace of all that we are can make our interactions with others superficial. even if there is a desire to connect deeply with someone, that connection will encounter limits and will only ever reach a depth equal to the relationship we have with ourselves. our personal degree of self-awareness will reflect dimly or brightly on whomever crosses our path. ",clarity & connection,yung pueblo,2022-08-13, #selfawareness
99,"It was a kind of betrayal to open up a friendship, something so private and special, and walk a stranger in like that...",Last Summer on State Street,Toya Wolfe,2022-08-29, #friendship
100,"Jumping rope and playing these hand games were our only real distraction from the ongoing demolition of the neighborhood, and as much as we could bury our heads in this joy, we did.",Last Summer on State Street,Toya Wolfe,2022-08-29, #soulmates
101,"At school, we had to be kind and respectful to each other, because Ms. Pierce made us act like a loving family, but back at the building, we pretended we couldn't stand one another; none of us really knew what to do with the actual affection that we felt. It seemed like a flaw to have these emotions. We didn't know then that the practice of burying emotions created adults who'd struggle to build meaningful relationships; some of us would eventually completely forget how to access true feelings. In my family, we expressed love in many ways, reaching out to touch an arm in a sad moment, or smothering one another in a hug, but I knew, even from a very young age, that this behavior was rarely meant for people outdoors.",Last Summer on State Street,Toya Wolfe,2022-08-29, #family
